open_time,open,high,low,close,volume,symbol
2022-12-06,16966.35000000,17107.01000000,16906.37000000,17088.96000000,218730.76883000,BTCUSDT
2022-12-07,17088.96000000,17142.21000000,16678.83000000,16836.64000000,220657.41334000,BTCUSDT
2022-12-08,16836.64000000,17299.00000000,16733.49000000,17224.10000000,236417.97804000,BTCUSDT
2022-12-09,17224.10000000,17360.00000000,17058.21000000,17128.56000000,238422.06465000,BTCUSDT
2022-12-10,17128.56000000,17227.72000000,17092.00000000,17127.49000000,140573.97937000,BTCUSDT
2022-12-11,17127.49000000,17270.99000000,17071.00000000,17085.05000000,155286.47871000,BTCUSDT
2022-12-12,17085.05000000,17241.89000000,16871.85000000,17209.83000000,226227.49694000,BTCUSDT
2022-12-13,17208.93000000,18000.00000000,17080.14000000,17774.70000000,284462.91390000,BTCUSDT
2022-12-14,17775.82000000,18387.95000000,17660.94000000,17803.15000000,266681.22209000,BTCUSDT
2022-12-15,17804.01000000,17854.82000000,17275.51000000,17356.34000000,223701.96882000,BTCUSDT
2022-12-16,17356.96000000,17531.73000000,16527.32000000,16632.12000000,253379.04116000,BTCUSDT
2022-12-17,16631.50000000,16796.82000000,16579.85000000,16776.52000000,144825.66684000,BTCUSDT
2022-12-18,16777.54000000,16863.26000000,16663.07000000,16738.21000000,112619.31646000,BTCUSDT
2022-12-19,16739.00000000,16815.99000000,16256.30000000,16438.88000000,179094.28305000,BTCUSDT
2022-12-20,16438.88000000,17061.27000000,16397.20000000,16895.56000000,248808.92324000,BTCUSDT
2022-12-21,16896.15000000,16925.00000000,16723.00000000,16824.67000000,156810.96362000,BTCUSDT
2022-12-22,16824.68000000,16868.52000000,16559.85000000,16821.43000000,176044.27235000,BTCUSDT
2022-12-23,16821.90000000,16955.14000000,16731.13000000,16778.50000000,161612.00947000,BTCUSDT
2022-12-24,16778.52000000,16869.99000000,16776.62000000,16836.12000000,100224.29096000,BTCUSDT
2022-12-25,16835.73000000,16857.96000000,16721.00000000,16832.11000000,125441.07202000,BTCUSDT
2022-12-26,16832.11000000,16944.52000000,16791.00000000,16919.39000000,124564.00656000,BTCUSDT
2022-12-27,16919.39000000,16972.83000000,16592.37000000,16706.36000000,173749.58616000,BTCUSDT
2022-12-28,16706.06000000,16785.19000000,16465.33000000,16547.31000000,193037.56577000,BTCUSDT
2022-12-29,16547.32000000,16664.41000000,16488.91000000,16633.47000000,160998.47158000,BTCUSDT
2022-12-30,16633.47000000,16677.35000000,16333.00000000,16607.48000000,164916.31174000,BTCUSDT
2022-12-31,16607.48000000,16644.09000000,16470.00000000,16542.40000000,114490.42864000,BTCUSDT
2023-01-01,16541.77000000,16628.00000000,16499.01000000,16616.75000000,96925.41374000,BTCUSDT
2023-01-02,16617.17000000,16799.23000000,16548.70000000,16672.87000000,121888.57191000,BTCUSDT
2023-01-03,16672.78000000,16778.40000000,16605.28000000,16675.18000000,159541.53733000,BTCUSDT
2023-01-04,16675.65000000,16991.87000000,16652.66000000,16850.36000000,220362.18862000,BTCUSDT
2023-01-05,16850.36000000,16879.82000000,16753.00000000,16831.85000000,163473.56641000,BTCUSDT
2023-01-06,16831.85000000,17041.00000000,16679.00000000,16950.65000000,207401.28415000,BTCUSDT
2023-01-07,16950.31000000,16981.91000000,16908.00000000,16943.57000000,104526.56880000,BTCUSDT
2023-01-08,16943.83000000,17176.99000000,16911.00000000,17127.83000000,135155.89695000,BTCUSDT
2023-01-09,17127.83000000,17398.80000000,17104.66000000,17178.26000000,266211.52723000,BTCUSDT
2023-01-10,17179.04000000,17499.00000000,17146.34000000,17440.66000000,221382.42581000,BTCUSDT
2023-01-11,17440.64000000,18000.00000000,17315.60000000,17943.26000000,262221.60653000,BTCUSDT
2023-01-12,17943.26000000,19117.04000000,17892.05000000,18846.62000000,454568.32178000,BTCUSDT
2023-01-13,18846.62000000,20000.00000000,18714.12000000,19930.01000000,368615.87823000,BTCUSDT
2023-01-14,19930.01000000,21258.00000000,19888.05000000,20954.92000000,393913.74951000,BTCUSDT
2023-01-15,20952.76000000,21050.74000000,20551.01000000,20871.50000000,178542.22549000,BTCUSDT
2023-01-16,20872.99000000,21474.05000000,20611.48000000,21185.65000000,293078.08262000,BTCUSDT
2023-01-17,21185.65000000,21647.45000000,20841.31000000,21134.81000000,275407.74409000,BTCUSDT
2023-01-18,21132.29000000,21650.00000000,20407.15000000,20677.47000000,350916.01949000,BTCUSDT
2023-01-19,20677.47000000,21192.00000000,20659.19000000,21071.59000000,251385.84925000,BTCUSDT
2023-01-20,21071.59000000,22755.93000000,20861.28000000,22667.21000000,338079.13659000,BTCUSDT
2023-01-21,22666.00000000,23371.80000000,22422.00000000,22783.55000000,346445.48432000,BTCUSDT
2023-01-22,22783.35000000,23078.71000000,22292.37000000,22707.88000000,253577.75286000,BTCUSDT
2023-01-23,22706.02000000,23180.00000000,22500.00000000,22916.45000000,293588.37938000,BTCUSDT
2023-01-24,22917.81000000,23162.20000000,22462.93000000,22632.89000000,293158.78254000,BTCUSDT
2023-01-25,22631.94000000,23816.73000000,22300.00000000,23060.94000000,346042.83223000,BTCUSDT
2023-01-26,23060.42000000,23282.47000000,22850.01000000,23009.65000000,288924.43581000,BTCUSDT
2023-01-27,23009.65000000,23500.00000000,22534.88000000,23074.16000000,280833.86315000,BTCUSDT
2023-01-28,23074.16000000,23189.00000000,22878.46000000,23022.60000000,148115.71085000,BTCUSDT
2023-01-29,23021.40000000,23960.54000000,22967.76000000,23742.30000000,295688.79204000,BTCUSDT
2023-01-30,23743.37000000,23800.51000000,22500.00000000,22826.15000000,302405.90121000,BTCUSDT
2023-01-31,22827.38000000,23320.00000000,22714.77000000,23125.13000000,264649.34909000,BTCUSDT
2023-02-01,23125.13000000,23812.66000000,22760.23000000,23732.66000000,310790.42271000,BTCUSDT
2023-02-02,23731.41000000,24255.00000000,23363.27000000,23488.94000000,364177.20751000,BTCUSDT
2023-02-03,23489.33000000,23715.70000000,23204.62000000,23431.90000000,332571.02904000,BTCUSDT
2023-02-04,23431.90000000,23587.78000000,23253.96000000,23326.84000000,166126.47295000,BTCUSDT
2023-02-05,23327.66000000,23433.33000000,22743.00000000,22932.91000000,209251.33917000,BTCUSDT
2023-02-06,22932.91000000,23158.25000000,22628.13000000,22762.52000000,265371.60690000,BTCUSDT
2023-02-07,22762.52000000,23350.25000000,22745.78000000,23240.46000000,308006.72482000,BTCUSDT
2023-02-08,23242.42000000,23452.00000000,22665.85000000,22963.00000000,280056.30717000,BTCUSDT
2023-02-09,22961.85000000,23011.39000000,21688.00000000,21796.35000000,402894.69550000,BTCUSDT
2023-02-10,21797.83000000,21938.16000000,21451.00000000,21625.19000000,338591.94247000,BTCUSDT
2023-02-11,21625.19000000,21906.32000000,21599.78000000,21862.55000000,177021.58433000,BTCUSDT
2023-02-12,21862.02000000,22090.00000000,21630.00000000,21783.54000000,204435.65163000,BTCUSDT
2023-02-13,21782.37000000,21894.99000000,21351.07000000,21773.97000000,295730.76791000,BTCUSDT
2023-02-14,21774.63000000,22319.08000000,21532.77000000,22199.84000000,361958.40109000,BTCUSDT
2023-02-15,22199.84000000,24380.00000000,22047.28000000,24324.05000000,375669.16111000,BTCUSDT
2023-02-16,24322.87000000,25250.00000000,23505.25000000,23517.72000000,450080.68366000,BTCUSDT
2023-02-17,23517.72000000,25021.11000000,23339.37000000,24569.97000000,496813.21376000,BTCUSDT
2023-02-18,24568.24000000,24877.00000000,24430.00000000,24631.95000000,216917.25213000,BTCUSDT
2023-02-19,24632.05000000,25192.00000000,24192.57000000,24271.76000000,300395.99542000,BTCUSDT
2023-02-20,24272.51000000,25121.23000000,23840.83000000,24842.20000000,346938.56997000,BTCUSDT
2023-02-21,24843.89000000,25250.00000000,24148.34000000,24452.16000000,376000.82868000,BTCUSDT
2023-02-22,24450.67000000,24476.05000000,23574.69000000,24182.21000000,379425.75365000,BTCUSDT
2023-02-23,24182.21000000,24599.59000000,23608.00000000,23940.20000000,398400.45437000,BTCUSDT
2023-02-24,23940.20000000,24132.35000000,22841.19000000,23185.29000000,343582.57453000,BTCUSDT
